Question;Answer
Wie sind unsere Entwicklungsprozesse strukturiert?;Unsere Entwicklungsabläufe basieren auf agilen Methoden wie Scrum und Kanban.
Welche Programmiersprachen werden hauptsächlich bei QAWare verwendet?;Bei QAWare dominieren Java, Python und JavaScript als bevorzugte Code-Sprachen.
Welche Frameworks und Tools setzen wir ein?;Wir arbeiten mit Angular, React, Spring Boot und Django, um nur einige zu nennen.
Was ist die bevorzugte Cloud-Plattform im Unternehmen?;Wir setzen auf AWS, aber auch Google Cloud und Microsoft Azure kommen zum Einsatz.
Wie sieht das Schulungsangebot für Mitarbeiter aus?;Interne und externe Fortbildungen sowie Workshops werden regelmäßig angeboten.
Wo finde ich Informationen zu den neuesten Technologietrends?;Unser firmeneigenes Confluence-Wiki enthält aktuelle Informationen und Ressourcen.
Wie kann ich mich in ein neues Projekt einbringen?;Wende dich an deinen Teamleiter oder Projektmanager, um Möglichkeiten zur Zusammenarbeit zu besprechen.
Welche Sicherheitsmaßnahmen werden bei QAWare ergriffen?;Zugriffskontrollen, regelmäßige Updates und Sicherheitsschulungen sind nur einige der angewandten Sicherheitsrichtlinien.
Wie pflegen wir die Qualität unserer Software?;Code-Reviews, automatisierte Tests und Continuous Integration sind feste Bestandteile unserer Qualitätssicherung.
Welche Projektmanagement-Tools verwenden wir?;Jira, Trello und Asana zählen zu den gängigen Werkzeugen für das Projektmanagement.
Wie erfolgt die Kommunikation innerhalb der Teams?;Slack, Microsoft Teams und E-Mail sind die primären Kommunikationsmittel.
Wie kann ich Zugriff auf den Quellcode eines Projekts erhalten?;Bitte kontaktiere deinen Teamleiter oder den Verantwortlichen für das Repository, um entsprechende Berechtigungen zu erhalten.
Wie beantrage ich Urlaub oder informiere über Krankheitstage?;Nutze unser HR-System zur Beantragung von Urlaub und Meldung von Krankheitstagen.
Welche Vorteile bietet QAWare seinen Mitarbeitern?;Flexible Arbeitszeiten, Homeoffice-Möglichkeiten und Weiterbildungschancen gehören zu unseren Mitarbeiterbenefits.
Wie kann ich mich für eine interne Schulung anmelden?;Eine Anmeldung zu internen Schulungen ist über das Fortbildungssystem oder den zuständigen Schulungskoordinator möglich.
Wie werden Codeänderungen in den Hauptzweig integriert?;Änderungen werden mittels Pull Requests und Code-Reviews in den Hauptzweig eingefügt.
Welche Datenbanken verwenden wir?;MySQL, PostgreSQL und MongoDB sind Beispiele für eingesetzte Datenbanksysteme.
Wie ist das Onboarding für neue Mitarbeiter organisiert?;Ein Einführungsprogramm und persönliche Mentoren unterstützen dich während der ersten Wochen im Unternehmen.
Wo finde ich die Unternehmensrichtlinien und -verfahren?;Unser Confluence-Wiki enthält alle relevanten Informationen zu Richtlinien und Verfahren.
Wie sind die Teams bei QAWare organisiert?;Teams sind in der Regel nach Projekten oder Fachbereichen strukturiert und bestehen aus Entwicklern, Testern und Projektmanagern.
Wie erstelle ich eine SSH-Verbindung zu QAWare-Servern?;Verwende den Befehl ssh benutzername@server.qaware.de und gib dein Passwort ein, wenn du dazu aufgefordert wirst.
Wie kann ich meine SSH-Schlüssel für die QAWare-Infrastruktur einrichten?;Führe ssh-keygen aus, um ein neues Schlüsselpaar zu generieren, und kopiere den öffentlichen Schlüssel in das Verzeichnis ~/.ssh/authorized_keys auf dem Zielserver.
Wie übertrage ich Dateien sicher über SSH zu QAWare-Servern?;Nutze das scp-Tool, indem du den Befehl scp /pfad/zur/lokalen/datei benutzername@server.qaware.de:/pfad/zum/zielverzeichnis eingibst.
Wie führe ich Befehle auf QAWare-Servern über eine SSH-Verbindung aus?;Verwende den Befehl ssh benutzername@server.qaware.de 'befehl', wobei 'befehl' der auszuführende Befehl ist.
Kann ich bei QAWare eine SSH-Verbindung mit mehreren Hops einrichten?;Ja, benutze den -J-Parameter von SSH, z.B. ssh -J benutzername@jumpserver.qaware.de benutzername@zielserver.qaware.de.
Wie ändere ich den Standard-SSH-Port bei QAWare?;Bearbeite die Datei /etc/ssh/sshd_config auf dem Server und ändere die Zeile Port 22 auf den gewünschten Port. Starte danach den SSH-Dienst neu.
Wie kann ich bei QAWare eine SSH-Verbindung ohne Passwortabfrage aufbauen?;Stelle sicher, dass dein öffentlicher SSH-Schlüssel im Verzeichnis ~/.ssh/authorized_keys auf dem Zielserver hinterlegt ist und die Berechtigungen korrekt gesetzt sind.
Gibt es eine empfohlene Verschlüsselung für SSH-Verbindungen bei QAWare?;Verwende die Verschlüsselungsalgorithmen chacha20-poly1305@openssh.com, aes256-gcm@openssh.com oder aes128-gcm@openssh.com für optimale Sicherheit.
